# Discretized SVG Paths
# Format: path_index,point_index,x,y
# Path 0 (41 points)
0,0,26.3529,75.2941
0,1,29.1765,75.2941
0,2,32,75.2941
0,3,34.8235,75.2941
0,4,37.6471,75.2941
0,5,40.4706,75.2941
0,6,43.2941,75.2941
0,7,46.1176,75.2941
0,8,48.9412,75.2941
0,9,51.7647,75.2941
0,10,54.5882,75.2941
0,11,54.5882,73.4118
0,12,54.5882,71.5294
0,13,54.5882,69.6471
0,14,54.5882,67.7647
0,15,54.5882,65.8824
0,16,54.5882,64
0,17,54.5882,62.1176
0,18,54.5882,60.2353
0,19,54.5882,58.3529
0,20,54.5882,56.4706
0,21,51.7647,56.4706
0,22,48.9412,56.4706
0,23,46.1176,56.4706
0,24,43.2941,56.4706
0,25,40.4706,56.4706
0,26,37.6471,56.4706
0,27,34.8235,56.4706
0,28,32,56.4706
0,29,29.1765,56.4706
0,30,26.3529,56.4706
0,31,26.3529,58.3529
0,32,26.3529,60.2353
0,33,26.3529,62.1176
0,34,26.3529,64
0,35,26.3529,65.8824
0,36,26.3529,67.7647
0,37,26.3529,69.6471
0,38,26.3529,71.5294
0,39,26.3529,73.4118
0,40,26.3529,75.2941

# Path 1 (51 points)
1,0,96.9412,65.8824
1,1,96.7564,63.5924
1,2,96.2214,61.4201
1,3,95.3654,59.3945
1,4,94.2173,57.5447
1,5,92.8062,55.8997
1,6,91.1612,54.4886
1,7,89.3114,53.3405
1,8,87.2858,52.4844
1,9,85.1135,51.9495
1,10,82.8235,51.7647
1,11,80.5336,51.9495
1,12,78.3613,52.4844
1,13,76.3357,53.3405
1,14,74.4858,54.4886
1,15,72.8408,55.8997
1,16,71.4298,57.5447
1,17,70.2817,59.3945
1,18,69.4256,61.4201
1,19,68.8907,63.5924
1,20,68.7059,65.8824
1,21,68.8907,68.1723
1,22,69.4256,70.3446
1,23,70.2817,72.3702
1,24,71.4298,74.2201
1,25,72.8408,75.865
1,26,74.4858,77.2761
1,27,76.3357,78.4242
1,28,78.3613,79.2803
1,29,80.5336,79.8152
1,30,82.8235,80
1,31,85.1135,79.8152
1,32,87.2858,79.2803
1,33,89.3114,78.4242
1,34,91.1612,77.2761
1,35,92.8062,75.865
1,36,94.2173,74.2201
1,37,95.3654,72.3702
1,38,96.2214,70.3446
1,39,96.7564,68.1723
1,40,96.9412,65.8824
1,41,96.9412,65.8824
1,42,96.9412,65.8824
1,43,96.9412,65.8824
1,44,96.9412,65.8824
1,45,96.9412,65.8824
1,46,96.9412,65.8824
1,47,96.9412,65.8824
1,48,96.9412,65.8824
1,49,96.9412,65.8824
1,50,96.9412,65.8824

# Path 2 (11 points)
2,0,26.3529,28.2353
2,1,33.8824,28.2353
2,2,41.4118,28.2353
2,3,48.9412,28.2353
2,4,56.4706,28.2353
2,5,64,28.2353
2,6,71.5294,28.2353
2,7,79.0588,28.2353
2,8,86.5882,28.2353
2,9,94.1176,28.2353
2,10,101.647,28.2353

# Path 3 (31 points)
3,0,45.1765,9.41176
3,1,48.9412,9.41176
3,2,52.7059,9.41176
3,3,56.4706,9.41176
3,4,60.2353,9.41176
3,5,64,9.41176
3,6,67.7647,9.41176
3,7,71.5294,9.41176
3,8,75.2941,9.41176
3,9,79.0588,9.41176
3,10,82.8235,9.41176
3,11,80.9412,8.4706
3,12,79.0588,7.5294
3,13,77.1765,6.58824
3,14,75.2941,5.64705
3,15,73.4118,4.70588
3,16,71.5294,3.76471
3,17,69.6471,2.82353
3,18,67.7647,1.88235
3,19,65.8824,0.941176
3,20,64,0
3,21,62.1176,0.941184
3,22,60.2353,1.88235
3,23,58.3529,2.82353
3,24,56.4706,3.7647
3,25,54.5882,4.70588
3,26,52.7059,5.64707
3,27,50.8235,6.58824
3,28,48.9412,7.52941
3,29,47.0588,8.47059
3,30,45.1765,9.41176

# Path 4 (11 points)
4,0,35.7647,47.0588
4,1,41.4118,51.1247
4,2,47.0588,52.48
4,3,52.7059,51.8024
4,4,58.3529,49.7694
4,5,64,47.0588
4,6,69.6471,44.3482
4,7,75.2941,42.3153
4,8,80.9412,41.6376
4,9,86.5882,42.9929
4,10,92.2353,47.0588

