# Discretized SVG Paths
# Format: path_index,point_index,x,y
# Path 0 (41 points)
0,0,16.3044,75.2171
0,1,16.3049,75.2311
0,2,16.3055,75.2691
0,3,16.3043,75.3252
0,4,16.2999,75.3931
0,5,16.2905,75.467
0,6,16.2746,75.5407
0,7,16.2506,75.6082
0,8,16.2167,75.6635
0,9,16.1715,75.7005
0,10,16.1131,75.7132
0,11,15.9267,75.3562
0,12,15.5105,74.3926
0,13,14.8829,72.9784
0,14,14.0622,71.2698
0,15,13.0667,69.423
0,16,11.9148,67.5942
0,17,10.6249,65.9395
0,18,9.2153,64.6151
0,19,7.7043,63.7771
0,20,6.11029,63.5817
0,21,6.24752,63.5409
0,22,6.64353,63.4881
0,23,7.27479,63.5282
0,24,8.11778,63.7661
0,25,9.14896,64.3066
0,26,10.3448,65.2545
0,27,11.6818,66.7147
0,28,13.1364,68.792
0,29,14.6851,71.5911
0,30,16.3044,75.2171
0,31,16.3044,75.2171
0,32,16.3044,75.2171
0,33,16.3044,75.2171
0,34,16.3044,75.2171
0,35,16.3044,75.2171
0,36,16.3044,75.2171
0,37,16.3044,75.2171
0,38,16.3044,75.2171
0,39,16.3044,75.2171
0,40,16.3044,75.2171

# Path 1 (41 points)
1,0,17.2384,74.4172
1,1,17.2341,74.4306
1,2,17.2217,74.4666
1,3,17.2015,74.5189
1,4,17.1742,74.5813
1,5,17.1403,74.6476
1,6,17.1003,74.7115
1,7,17.0547,74.7668
1,8,17.0041,74.8072
1,9,16.9489,74.8266
1,10,16.8897,74.8186
1,11,16.8358,74.4196
1,12,16.7723,73.3718
1,13,16.6633,71.8284
1,14,16.4728,69.9425
1,15,16.165,67.8672
1,16,15.7041,65.7556
1,17,15.0541,63.7607
1,18,14.1792,62.0357
1,19,13.0434,60.7337
1,20,11.611,60.0078
1,21,11.7539,60.016
1,22,12.1443,60.1011
1,23,12.7242,60.3536
1,24,13.4359,60.8641
1,25,14.2217,61.7232
1,26,15.0237,63.0215
1,27,15.7841,64.8494
1,28,16.4453,67.2976
1,29,16.9493,70.4567
1,30,17.2384,74.4172
1,31,17.2384,74.4172
1,32,17.2384,74.4172
1,33,17.2384,74.4172
1,34,17.2384,74.4172
1,35,17.2384,74.4172
1,36,17.2384,74.4172
1,37,17.2384,74.4172
1,38,17.2384,74.4172
1,39,17.2384,74.4172
1,40,17.2384,74.4172

# Path 2 (41 points)
2,0,24.5118,85.6165
2,1,24.5238,85.6238
2,2,24.5558,85.6444
2,3,24.6019,85.6762
2,4,24.6562,85.7174
2,5,24.7127,85.7659
2,6,24.7654,85.8198
2,7,24.8085,85.8771
2,8,24.836,85.9358
2,9,24.8419,85.994
2,10,24.8203,86.0496
2,11,24.4197,86.0082
2,12,23.3864,85.8236
2,13,21.8606,85.5668
2,14,19.9828,85.3086
2,15,17.8932,85.1199
2,16,15.7324,85.0715
2,17,13.6407,85.2343
2,18,11.7583,85.6792
2,19,10.2258,86.4769
2,20,9.18342,87.6985
2,21,9.22503,87.5615
2,22,9.3995,87.2021
2,23,9.78126,86.6978
2,24,10.4448,86.1261
2,25,11.4645,85.5643
2,26,12.9149,85.09
2,27,14.8703,84.7806
2,28,17.4053,84.7136
2,29,20.5943,84.9664
2,30,24.5118,85.6165
2,31,24.5118,85.6165
2,32,24.5118,85.6165
2,33,24.5118,85.6165
2,34,24.5118,85.6165
2,35,24.5118,85.6165
2,36,24.5118,85.6165
2,37,24.5118,85.6165
2,38,24.5118,85.6165
2,39,24.5118,85.6165
2,40,24.5118,85.6165

# Path 3 (41 points)
3,0,23.7686,88.3182
3,1,23.7823,88.3213
3,2,23.8192,88.3307
3,3,23.873,88.3465
3,4,23.9375,88.3685
3,5,24.0064,88.3967
3,6,24.0734,88.4313
3,7,24.1323,88.4721
3,8,24.1769,88.5192
3,9,24.2008,88.5726
3,10,24.1977,88.6322
3,11,23.8046,88.7191
3,12,22.7657,88.8695
3,13,21.2368,89.1065
3,14,19.3732,89.453
3,15,17.3307,89.9322
3,16,15.2647,90.567
3,17,13.3308,91.3805
3,18,11.6844,92.3958
3,19,10.4813,93.6358
3,20,9.8769,95.1235
3,21,9.87323,94.9804
3,22,9.9256,94.5843
3,23,10.1291,93.9854
3,24,10.5787,93.2337
3,25,11.3695,92.3793
3,26,12.5966,91.4722
3,27,14.3549,90.5624
3,28,16.7397,89.7001
3,29,19.8459,88.9354
3,30,23.7686,88.3182
3,31,23.7686,88.3182
3,32,23.7686,88.3182
3,33,23.7686,88.3182
3,34,23.7686,88.3182
3,35,23.7686,88.3182
3,36,23.7686,88.3182
3,37,23.7686,88.3182
3,38,23.7686,88.3182
3,39,23.7686,88.3182
3,40,23.7686,88.3182

# Path 4 (41 points)
4,0,22.6544,86.8564
4,1,22.6675,86.8615
4,2,22.7026,86.8762
4,3,22.7536,86.8996
4,4,22.8141,86.9308
4,5,22.8782,86.9688
4,6,22.9395,87.0128
4,7,22.9918,87.0618
4,8,23.0291,87.1149
4,9,23.0449,87.1711
4,10,23.0333,87.2297
4,11,22.6316,87.2582
4,12,21.582,87.2555
4,13,20.0348,87.2669
4,14,18.1407,87.3379
4,15,16.0501,87.514
4,16,13.9136,87.8407
4,17,11.8817,88.3635
4,18,10.1049,89.1278
4,19,8.7337,90.179
4,20,7.91871,91.5628
4,21,7.93596,91.4206
4,22,8.04554,91.0364
4,23,8.33418,90.4736
4,24,8.88862,89.7955
